,BCH-USD,BTC-USD,ETH-USD,LTC-USD,cash_balance,crypto_balance,revenue,total_balance,transaction_cost
2018-09-28 06:15:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1860.4239098860708,95803.56747492056,36.36545156692419,97663.99138480664,0.0
2018-09-28 06:16:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1828.1919457728218,95819.68345697719,-16.115982056617813,97647.87540275001,0.0
2018-09-28 06:17:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1923.0355491101363,95772.26165530854,47.421801668660045,97695.29720441868,0.0
2018-09-28 06:18:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,1998.9616197427385,95734.29861999223,37.963035316287225,97733.26023973497,0.0
2018-09-28 06:19:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2073.357553384776,95697.10065317122,37.19796682102282,97770.458206556,0.0
2018-09-28 06:20:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2155.8165276116633,95655.87116605777,41.22948711344287,97811.68769366943,0.0
2018-09-28 06:21:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2211.942452164032,95627.80820378159,28.06296227619861,97839.75065594562,0.0
2018-09-28 06:22:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2247.9356884632434,95609.81158563198,17.996618149603172,97857.74727409522,0.0
2018-09-28 06:23:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2237.8369950174965,95614.86093235486,-5.049346722871711,97852.69792737236,0.0
2018-09-28 06:24:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2287.366437250268,95590.09621123847,24.764721116385147,97877.46264848874,0.0
2018-09-28 06:25:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2331.2122516968084,95568.1733040152,21.9229072232745,97899.38555571201,0.0
2018-09-28 06:26:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2308.325903147197,95579.61647829,-11.44317427480984,97887.9423814372,0.0
2018-09-28 06:27:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2296.471461538502,95585.54369909434,-5.927220804348713,97882.01516063284,0.0
2018-09-28 06:28:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2322.268767560294,95572.64504608345,12.898653010899805,97894.91381364374,0.0
2018-09-28 06:29:00,-20.41129124183106,-11.564591845597533,-21.05972099095093,-22.366923332214355,2365.3077568464505,95551.12555144037,21.51949464308605,97916.43330828683,0.0
